unique_id,file_name,page_sequence,page_label,title,authors,date,place,shelfmark,source_library,colenda_url,language,subjects
TDK_P001,Markham_Machin_The_Dumbe_Knight_p. 1.jpg,P001,1,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1633,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1633",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P002,Markham_Machin_The_Dumbe_Knight_p. 2.jpg,P002,2,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1634,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1634",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P003,Markham_Machin_The_Dumbe_Knight_p. 3.jpg,P003,3,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1635,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1635",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P004,Markham_Machin_The_Dumbe_Knight_p. 4.jpg,P004,4,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1636,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1636",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P005,Markham_Machin_The_Dumbe_Knight_p. 5.jpg,P005,5,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1637,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1637",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P006,Markham_Machin_The_Dumbe_Knight_p. 6.jpg,P006,6,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1638,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1638",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P007,Markham_Machin_The_Dumbe_Knight_p. 7.jpg,P007,7,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1639,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1639",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P008,Markham_Machin_The_Dumbe_Knight_p. 8.jpg,P008,8,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1640,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1640",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P009,Markham_Machin_The_Dumbe_Knight_p. 9.jpg,P009,9,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1641,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1641",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P010,Markham_Machin_The_Dumbe_Knight_p. 10.jpg,P010,10,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1642,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1642",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P011,Markham_Machin_The_Dumbe_Knight_p. 11.jpg,P011,11,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1643,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1643",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P012,Markham_Machin_The_Dumbe_Knight_p. 12.jpg,P012,12,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1644,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1644",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P013,Markham_Machin_The_Dumbe_Knight_p. 13.jpg,P013,13,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1645,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1645",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P014,Markham_Machin_The_Dumbe_Knight_p. 72.jpg,P014,72,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1646,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1646",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P015,Markham_Machin_The_Dumbe_Knight_p. 73.jpg,P015,73,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1647,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1647",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P016,Markham_Machin_The_Dumbe_Knight_p. 74.jpg,P016,74,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1648,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1648",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P017,Markham_Machin_The_Dumbe_Knight_p. 75.jpg,P017,75,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1649,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1649",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P018,Markham_Machin_The_Dumbe_Knight_p. 76.jpg,P018,76,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1650,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1650",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P019,Markham_Machin_The_Dumbe_Knight_p. 77.jpg,P019,77,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1651,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1651",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P020,Markham_Machin_The_Dumbe_Knight_p. 78.jpg,P020,78,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1652,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1652",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P021,Markham_Machin_The_Dumbe_Knight_p. 79.jpg,P021,79,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1653,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1653",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P022,Markham_Machin_The_Dumbe_Knight_p. 80.jpg,P022,80,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1654,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1654",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P023,Markham_Machin_The_Dumbe_Knight_p. 81.jpg,P023,81,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1655,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1655",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P024,Markham_Machin_The_Dumbe_Knight_p. 82.jpg,P024,82,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1656,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1656",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P025,Markham_Machin_The_Dumbe_Knight_p. 83.jpg,P025,83,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1657,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1657",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy